[2025-12-29 10:52:23] [INFO    ] discord.client: logging in using static token
[2025-12-29 10:52:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-29 10:52:23] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-29 10:52:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '330616778969317376', 'username': 'Warframe Bot', 'avatar': '1fb6c8b154973b7d02a291f80d40c467', 'discriminator': '6769', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-29 10:52:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-29 10:52:24] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-29 10:52:24] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '330616778969317376', 'name': 'Warframe Bot', 'icon': '1fb6c8b154973b7d02a291f80d40c467', 'description': 'A testbench.', 'type': None, 'bot': {'id': '330616778969317376', 'username': 'Warframe Bot', 'avatar': '1fb6c8b154973b7d02a291f80d40c467', 'discriminator': '6769', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '8074b1889b3c659e94fe27a8b7838f16741245cb47a13fa174145f864f9ec73a', 'flags': 19439616, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '180090346003234816', 'username': 'chromakaze', 'avatar': '1b1fad37173816ef7020cffdf74d582e', 'discriminator': '0', 'public_flags': 512, 'flags': 512, 'banner': None, 'accent_color': 932476, 'global_name': 'Chromakaze', 'avatar_decoration_data': {'asset': 'a_3c8525a96d0272550c2f95bc8b594da5', 'sku_id': '1440174638930853957', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#0e3a7c', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 452, 'monetization_state': 1, 'verification_eligibility_flags': 90908, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-29 10:52:24] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-29 10:52:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-sdbc",{"micros":0.0}]']}}
[2025-12-29 10:52:24] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-29 10:52:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
